,TIPO DE PADRAO DA CONSTRUCAO,count,padrao,contrucao,titulo_padronizado,relacao_de_assertividade_com_titulo_padronizado
0,,26,,,Residencial horizontal - padrão A,0.0
1,Residencial horizontal - padrão A,2010356,A,horizontal,Residencial horizontal - padrão A,1.0
2,Oficina/Posto de serviço/Armazém/D,152824,D,,Oficina/Posto de serviço/Armazém/D,1.0
3,Residencial vertical - padrão E,387531,E,vertical,Residencial vertical - padrão E,1.0
4,residência horizontal - Padrão E,181857,E,horizontal,Residencial horizontal - padrão E,0.8923076923076924
5,Residencial horizontal - padrão F,13752,F,horizontal,Residencial horizontal - padrão F,1.0
6,residência horizontal - Padrão A,6149461,A,horizontal,Residencial horizontal - padrão A,0.8923076923076924
7,residência horizontal - Padrão F,11250,F,horizontal,Residencial horizontal - padrão F,0.8923076923076924
8,Barracão/Telheiro/Oficina - padrão,28833,,,Barracão/Telheiro/Oficina - padrão,1.0
9,Residencial horizontal - padrão B,2744823,B,horizontal,Residencial horizontal - padrão B,1.0
10,Residencial horizontal - padrão E,60433,E,horizontal,Residencial horizontal - padrão E,1.0
11,edifício de garagens - Padrão A,190704,A,,Edifício de garagens - padrão A,0.9354838709677419
12,Comercial vertical - padrão B,437227,B,vertical,Comercial vertical - padrão B,1.0
13,residência vertical - Padrão F,44513,F,vertical,Residencial vertical - padrão F,0.8852459016393442
14,Residencial horizontal - padrão D,327829,D,horizontal,Residencial horizontal - padrão D,1.0
15,residência vertical - Padrão C,14385051,C,vertical,Residencial vertical - padrão C,0.8852459016393442
16,TERRENO,758829,,terreno,TERRENO,1.0
17,terreno,2957125,,terreno,Indústria - padrão E,0.2962962962962963
18,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto,171519,,,Templo/Clube/Ginásio ou Estádio es,0.591304347826087
19,Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão E,5070,E,,Oficina/Posto de serviço/Armazém/D,0.5964912280701754
20,comercial horizontal - Padrão E,1250,E,horizontal,Comercial horizontal - padrão E,0.9354838709677419
21,Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão C,403236,C,,Oficina/Posto de serviço/Armazém/D,0.5964912280701754
22,residência vertical - Padrão A,1252478,A,vertical,Residencial vertical - padrão A,0.8852459016393442
23,Residencial vertical - padrão F,60642,F,vertical,Residencial vertical - padrão F,1.0
