TIPO DE PADRAO DA CONSTRUCAO,count
,26
Oficina/Posto de serviço/Armazém/D,152824
Residencial horizontal - padrão A,2010356
Residencial vertical - padrão E,387531
residência horizontal - Padrão E,181857
Residencial horizontal - padrão F,13752
residência horizontal - Padrão A,6149461
residência horizontal - Padrão F,11250
Barracão/Telheiro/Oficina - padrão,28833
Residencial horizontal - padrão B,2744823
Residencial horizontal - padrão E,60433
edifício de garagens - Padrão A,190704
Comercial vertical - padrão B,437227
residência vertical - Padrão F,44513
Residencial horizontal - padrão D,327829
residência vertical - Padrão C,14385051
TERRENO,758829
terreno,2957125
Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto,171519
Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão E,5070
comercial horizontal - Padrão E,1250
Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão C,403236
residência vertical - Padrão A,1252478
Residencial vertical - padrão F,60642
Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão A,93090
Comercial horizontal - padrão D,16274
Barracão/Telheiro/Oficina/Posto de,104668
Comercial horizontal - padrão C,145750
Residencial vertical - padrão C,6931997
Edifício de garagens - padrão A,65905
Residencial horizontal - padrão C,4516237
comercial vertical - Padrão E,80201
residência horizontal - Padrão D,926195
Comercial vertical - padrão D,258111
comercial vertical - Padrão B,1175563
comercial vertical - Padrão A,39242
residência horizontal - Padrão B,6971838
Comercial vertical - padrão C,745417
Indústria - padrão E,944
comercial horizontal - Padrão D,47191
Templo/Clube/Ginásio ou Estádio es,65579
Comercial horizontal - padrão E,1459
residência horizontal - Padrão C,12589285
Comercial horizontal - padrão B,635266
Comercial vertical - padrão E,126430
comercial horizontal - Padrão B,1858101
residência vertical - Padrão B,1790309
Comercial horizontal - padrão A,81670
Residencial vertical - padrão A,583560
comercial horizontal - Padrão C,399839
Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão D,59174
residência vertical - Padrão D,3198907
residência vertical - Padrão E,890713
comercial horizontal - Padrão A,276796
Residencial vertical - padrão D,1796591
Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - Padrão B,308795
comercial vertical - Padrão D,451006
Comercial vertical - padrão A,13194
comercial vertical - Padrão C,1282807
Residencial vertical - padrão B,1057336
